loops.thisTrialN,loops.stepSize,loops.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,loops.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
94,0.5,2.0,137.12333719991148,137.6241264999844,137.6241264999844,137.6241264999844,137.92393759987317,right,2.0,1,1,0.62623479985632,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
95,0.5,2.0,138.27350339991972,138.77395679987967,138.75676360004582,138.75676360004582,139.05715429992415,left,-2.0,1,1,0.6002213000319898,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
96,0.5,2.0,139.3731316998601,139.87362269987352,139.87362269987352,139.87362269987352,140.1734593999572,left,-2.0,1,1,0.7815183999482542,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
97,0.5,1.5,140.67303139995784,141.17343299998902,141.17343299998902,141.17343299998902,141.47356579988264,left,-1.5,0,0,0.3985874999780208,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
98,0.5,2.0,141.58976499992423,142.09004929987714,142.09004929987714,142.09004929987714,142.39031940000132,right,2.0,0,0,0.7106502000242472,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
99,0.5,2.5,142.82351360004395,143.3227174000349,143.3227174000349,143.3227174000349,143.62336470000446,right,2.5,1,1,0.815247300080955,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
100,0.5,2.5,144.15599810006097,144.65669610002078,144.65669610002078,144.65669610002078,144.95692329993472,left,-2.5,1,1,0.8206140000838786,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
101,0.5,2.5,145.5062080998905,146.0063714000862,145.99008790007792,145.99008790007792,146.28993769991212,left,-2.5,1,1,0.8115457000676543,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
102,0.5,2.0,146.82278679986484,147.32313679996878,147.32313679996878,147.32313679996878,147.6232801999431,right,2.0,1,1,0.6000826999079436,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
103,0.5,2.0,147.9398606000468,148.43961929995567,148.43961929995567,148.43961929995567,148.73976760008372,right,2.0,1,1,0.5904671000316739,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
104,0.5,2.0,149.05603670002893,149.55654989997856,149.53992970008403,149.53992970008403,149.83991819992661,left,-2.0,1,1,1.418043800164014,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
105,0.5,1.5,150.98963289987296,151.4895931999199,151.4895931999199,151.4895931999199,151.78963489993475,left,-1.5,0,0,0.5868095001205802,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
106,0.5,2.0,152.10625980002806,152.6065092999488,152.6065092999488,152.6065092999488,152.9062570000533,left,-2.0,1,1,0.6258936999365687,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
107,0.5,2.0,153.25619079987518,153.75611660000868,153.75611660000868,153.75611660000868,154.05626629991457,right,2.0,1,1,0.5480456000659615,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
108,0.5,2.0,154.32222780003212,154.8229223000817,154.8229223000817,154.8229223000817,155.12265869998373,left,-2.0,1,1,0.7538298999425024,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
109,0.5,1.5,155.60609759995714,156.10590189998038,156.10590189998038,156.10590189998038,156.4058274999261,left,-1.5,1,1,1.9145352998748422,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
110,0.5,1.5,158.03887100005522,158.53943719994277,158.53943719994277,158.53943719994277,158.83900570007972,left,-1.5,1,1,1.9159429999999702,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
111,0.5,1.5,160.4718494999688,160.97246049996465,160.97246049996465,160.97246049996465,161.272169200005,left,-1.5,0,0,0.7871756001841277,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
112,0.5,2.0,161.7892819000408,162.28839719993994,162.2723649998661,162.2723649998661,162.57235009991564,right,2.0,1,1,0.6727956999093294,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
113,0.5,2.0,162.9722328998614,163.4724079000298,163.4724079000298,163.4724079000298,163.77235369989648,left,-2.0,1,1,0.6306449000257999,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
114,0.5,2.0,164.12229229998775,164.62207639985718,164.62207639985718,164.62207639985718,164.92214579996653,right,2.0,1,1,0.7727745000738651,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
115,0.5,1.5,165.4218860999681,165.92185409995727,165.92185409995727,165.92185409995727,166.22212959988974,right,1.5,0,0,1.0497232000343502,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
116,0.5,2.0,166.99020170001313,167.50491659995168,167.47177130007185,167.47177130007185,167.77195640001446,left,-2.0,1,1,0.7551102000288665,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
117,0.5,2.0,168.25480769993737,168.75492409989238,168.75492409989238,168.75492409989238,169.05535540007986,right,2.0,0,0,1.7929686000570655,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
118,0.5,2.5,170.57128819986247,171.071551800007,171.05473129986785,171.05473129986785,171.3552270999644,left,-2.5,1,1,1.0277269999496639,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
